plotID,fire,seedling_count,seedlings_per_ha,seedlings_per_ha_yr,regen_count,regen_per_ha,regen_per_ha_yr,stand_age,forest_zone,seedwall_dist_m_sat,veg_pc,hli,twi,bryo_pc,avg_spei_3yr,spp_richness,sdi,perc_shadeintol,perc_shadetol
eagl002,eagl,89,1927.182304,482,91,4049.248212,1012,mature,abam,61.59,11.49437105,0.63669321,5.3871102,1.975,-0.3,2,0.059911745,100,0
eagl003,eagl,20,433.0746751,108,20,433.0746751,108,mature,abam,26.66,8.450662886,0.849326824,5.0640898,0.411111111,-0.3,3,0.37524618,95.3271028,4.672897196
eagl005,eagl,37,801.1881489,200,37,801.1881489,200,mature,tshe,433.52,11.17077991,0.792652253,5.75172,0.25,-0.163333333,3,0.677252871,89.05472637,10.94527363
eagl006,eagl,47,1017.725486,254,47,1017.725486,254,old,abam,152.1,12.82653313,0.895451345,5.9229798,0.325,-0.163333333,3,0.778751581,85.03937008,14.96062992
eagl007,eagl,74,1602.376298,401,75,2663.409252,666,mature,abam,259.08,7.278251599,0.866339276,6.0864501,0.325,-0.163333333,4,0.577589439,96.6966967,3.303303303
eagl008,eagl,747,16175.33911,4044,760,29968.76752,7492,old,abam,104.51,6.0407945,0.768537568,5.0806699,10.2,-0.163333333,6,1.128547841,90.24292579,9.757074212
eagl009,eagl,49,1061.032954,265,49,1061.032954,265,mature,abam,55.6,4.126760513,0.995808376,5.5113201,0.1,-0.346666667,3,0.875955721,93.96226415,6.037735849
eagl010,eagl,6,129.9224025,32,6,129.9224025,32,mature,abam,153.27,7.965478261,0.946942046,5.4704599,0.183333333,-0.24,1,0,100,0
eagl011,eagl,1,21.65373375,5,1,21.65373375,5,old,tshe,1610.11,27.41942326,0.921769835,8.1405296,28.33333333,-0.49,1,0,100,0
good001,good,2,43.30746751,9,2,43.30746751,9,old,tshe,67.98,13.50535714,0.968928629,5.0160599,7.916666667,-0.92,2,0.693147181,0,100
good004,good,53,1147.647889,230,53,1147.647889,230,old,tshe,84.38,14.24829317,0.632344455,4.9112501,22.41666667,-0.92,3,0.785599233,16.95652174,83.04347826
good007,good,164,3551.212336,710,165,4612.24529,922,old,tshe,24.88,12.40933566,0.96071061,4.9139199,32.50833333,-1.07,3,0.7559399,97.61388286,2.386117137
good011,good,55,1190.955356,238,56,2251.98831,450,old,tshe,23.45,4.037831439,0.681638856,6.1268702,25.5,-1.07,3,0.425331804,87.55555556,12.44444444
good012,good,2376,51449.2714,10290,2439,118294.3475,23659,old,tshe,55.05,7.972907036,0.37864762,4.2288899,63.33333333,-0.92,4,1.077187383,37.14177023,62.85822977
good019,good,235,5088.627432,1018,245,15698.95697,3140,old,tshe,192.27,8.862326656,0.415403821,6.2568002,40,-0.92,3,0.65699765,7.452229299,92.5477707
good026,good,737,15958.80178,3192,756,36118.4279,7224,old,tshe,78.37,15.74780839,0.895664281,5.6747198,39.33333333,-0.92,4,1.167001836,28.36378738,71.63621262
good027,good,109,2360.256979,472,122,16153.68538,3231,old,tshe,81.08,6.738835901,0.962455618,4.8887501,21.08333333,-0.92,3,0.713272062,34.18935644,65.81064356
mapl001,mapl,37,801.1881489,267,39,2923.254057,974,old,tshe,33.08,8.487820513,0.755675409,4.7561402,1.475,0.09,2,0.263667713,92.60780287,7.392197125
mapl002,mapl,328,7102.424671,2367,342,21956.88603,7319,old,tshe,31.17,18.24200262,0.555532387,5.61134,24.16666667,0.09,3,0.230591873,3.457228751,96.54277125
mapl003,mapl,105,2273.642044,758,110,7578.806814,2526,old,tshe,22.97,5.974822996,0.761914132,5.5349498,12.53333333,0.186666667,3,0.742073361,1.70229612,98.29770388
nor003,nors,8,173.22987,58,12,4417.361686,1472,old,tshe,72.05,3.400117925,0.861424272,5.5454001,1.327272727,-0.85,3,0.131180412,2.443991853,97.55600815
nor005,nors,4,86.61493502,29,6,2208.680843,736,mature,tshe,278.98,0.690292553,0.880850278,6.3841,0.966666667,-0.85,3,0.147926814,2.857142857,97.14285714
nor006,nors,5,108.2686688,36,9,4352.400485,1451,old,tshe,283.91,1.54,0.715970431,4.5868301,6.591666667,-0.85,3,0.740880112,50.72463768,49.27536232
nor007,nors,6,129.9224025,43,6,129.9224025,43,mature,tshe,82.97,1.658333333,0.677987846,5.2665901,0.49,-0.85,3,1.003732496,83.72093023,16.27906977
nor014,nors,55,1190.955356,397,100,48937.43828,16312,old,abam,99.21,3.988461538,0.947980001,7.5247502,3.441666667,-0.876666667,3,0.887255675,37.85562101,62.14437899
nor016,nors,94,2035.450973,678,123,32805.40664,10935,old,abam,127.65,6.527662338,0.916920636,5.5722098,14.54545455,-0.876666667,3,0.924008887,70.82761774,29.17238226
nor018,nors,14,303.1522726,101,16,2425.21818,808,old,abam,198.65,6.98537415,0.624136157,5.6617098,1.541666667,-0.876666667,1,0,100,0
nor020,nors,1,21.65373375,7,1,21.65373375,7,young,abam,125.61,6.25828877,0.619920945,4.5141201,1.05,-0.876666667,1,0,100,0
nor021,nors,13,281.4985388,94,13,281.4985388,94,young,abam,54.46,7.638138784,0.430712098,4.4264002,1.2,-0.883333333,2,0.665503544,100,0
nor022,nors,10,216.5373375,72,12,2338.603245,780,young,abam,92.91,57.54884058,0.820816324,5.6233301,2.64,-0.876666667,1,0,100,0
nor026,nors,18,389.7672076,130,25,7816.997885,2606,mature,tshe,103.39,5.492234848,0.64461651,6.22609,14.59166667,-0.85,3,0.682952508,66.3410302,33.6589698
nor027,nors,45,974.4180189,325,114,74185.69184,24729,mature,tshe,53.87,13.733125,0.767845868,6.1353102,64.09090909,-0.85,4,0.81218081,25.59747665,74.40252335
nor031,nors,65,1407.492694,469,163,105388.7222,35130,old,tshe,410.41,5.435628415,0.472960169,5.6554198,39.58333333,-0.85,3,0.205245329,2.197614507,97.80238549
nor033,nors,26,562.9970776,188,31,5868.161847,1956,old,abam,117.14,5.253153153,0.952860076,5.3130798,0.408333333,-0.876666667,1,0,100,0
nor037,nors,111,2403.564447,801,136,28929.3883,9643,old,abam,55.34,3.083255814,0.934387171,5.5134301,21.94166667,-0.663333333,4,1.223755407,62.72944105,37.27055895
nor038,nors,121,2620.101784,873,153,36573.15631,12191,old,abam,100.71,2.126818182,0.911855346,6.8264499,29.08333333,-0.663333333,4,1.116428327,52.98991059,47.01008941
nor039,nors,24,519.6896101,173,29,5824.85438,1942,old,tshe,37.69,4.957301587,0.959965646,6.5111299,25.36363636,-0.85,4,1.122948693,24.92276004,75.07723996
nor043,nors,43,931.1105514,310,291,264067.2831,88022,old,tshe,53.95,0.90609472,0.912513915,5.1047602,12.75,-0.85,4,0.117300828,0.892958579,99.10704142
nor028,nors,1,21.65373375,7,4,3204.752596,1068,mature,tshe,191.6,0.620454545,0.721108526,6.7657099,6.3,-0.85,1,0,0,100
